unhappy
heartbroken
depressed
miserable
sorry
bad
upset
worried
sorrowful
disappointed
uneasy
hopeless
homeless
saddened
troubled
dejected
gloomy
hurt
heartsick
doleful
depressed
depressing
glum
disconsolate
inconsolable
joyless
alone
downcast
broken
brokenhearted
brokenheart 
distressed
distress 
suicidal
suicide
discouraged
low
painful
worthless
hateful
die
dies
sad truth
sadness
